name_hotel,address,latitude,longitude,avg_rating,state_name,city_name,cat_name,sentimiento,url
Basecamp Guesthouse,"BASECAMP GUESTHOUSE, 49010 SE MIDDLE FORK RD, NORTH BEND, WA 98045",47.4713319,-121.6869278,5.0,Washington,North Bend,Hotel,1,https://www.google.com/maps/place//data=!4m2!3m1!1s0x54907fca2751e187:0x3d6ae31ac18da483?authuser=-1&hl=en&gl=us
Jjironwork,"JJIRONWORK, 3009 TEAGARDEN ST, SAN LEANDRO, CA 94577",37.7039181,-122.155917,5.0,California,San Leandro,Lodge,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x808f8f8390b886c1:0x619ddd0e9f523f2?authuser=-1&hl=en&gl=us
Falls Inn,"FALLS INN, 4248 STATE RTE 5, NEWTON FALLS, OH 44444",41.2133044,-80.95407089999999,3.9,Ohio,Newton Falls,Inn,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88315d25d1d76083:0x2287ef0f3bb138cb?authuser=-1&hl=en&gl=us
Breezy Hill Mobile Home Park,"BREEZY HILL MOBILE HOME PARK, 115 MOBILE LN, FAYETTEVILLE, NC 28311",35.1494308,-78.919828,3.6,North Carolina,Fayetteville,Lodge,-1,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89ab6f460e78ea29:0x53b49b783bc54dd9?authuser=-1&hl=en&gl=us
Pine Tree Masonic Lodge,"PINE TREE MASONIC LODGE, 2709 PINE TREE RD, LONGVIEW, TX 75604",32.5349134,-94.8086308,4.3,Texas,Longview,Lodge,1,https://www.google.com/maps/place//data=!4m2!3m1!1s0x8636395522622a8b:0x73638992e1d8c645?authuser=-1&hl=en&gl=us
Masonic Lodge,"MASONIC LODGE, 323 W FRONT ST, TYLER, TX 75702",32.3472882,-95.3037774,4.8,Texas,Tyler,Lodge,1,https://www.google.com/maps/place//data=!4m2!3m1!1s0x8649ceb1e0acb313:0xa846e46533d5f044?authuser=-1&hl=en&gl=us
Mavens Haven,"MAVENS HAVEN, 272 LUCILE BLVD, LUCILE, ID 83542",45.5382057,-116.3087079,5.0,Idaho,Lucile,Lodge,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x54a6d3cd72f8c465:0xe207b8b273bb7ab2?authuser=-1&hl=en&gl=us
Foxglove Farm and Forest,"FOXGLOVE FARM AND FOREST, 777 DELORM RD, LEICESTER, VT 05733",43.8557429,-73.08818,5.0,Vermont,Leicester,Lodge,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x4cb549e8877cf0d7:0xe8f003e6d73392ae?authuser=-1&hl=en&gl=us
The Rock House,"THE ROCK HOUSE, 1860 NM-68, EMBUDO, NM 87531",36.2092557,-105.9445769,4.3,New Mexico,Embudo,Lodge,1,https://www.google.com/maps/place//data=!4m2!3m1!1s0x87182822cc16962d:0x792a8ae57964e85d?authuser=-1&hl=en&gl=us
Sugar River Loft,"SUGAR RIVER LOFT, 929 W EXCHANGE ST, BRODHEAD, WI 53520",42.6198617,-89.3778904,4.7,Wisconsin,Brodhead,Hotel,0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88062b28cb53ef6d:0x94df72568fddf391?authuser=-1&hl=en&gl=us
